,screen_name,location,position,bogus,age
1276,C_Ebsworthy,"London, England","(51.5073219, -0.1276474)",False,167463938.0
1291,ewa_bialekxxx,"London, England","(51.5073219, -0.1276474)",False,76917436.0
1312,butikku_uk,"London, England",,False,101367929.0
1323,MariOlano,"London, England",,False,216811791.0
1357,Carlos_Adama,"London, England",,False,259984530.0
1401,RonzLdn,"London, England","(51.5073219, -0.1276474)",False,60103569.0
1425,MsChristineLove,"London, England","(51.5073219, -0.1276474)",False,144228185.0
1433,SimpsonNaish,"London, England","(51.5073219, -0.1276474)",False,8599661.0
1438,dcukweb,"London, England",,False,199529760.0
1441,afroruth,"London, England",,False,166883368.0
1442,MatGiordan,"London, England",,False,155801188.0
1443,dannynasrous,"London, England","(51.5073219, -0.1276474)",False,225396338.0
1444,RefugeeWeek,"London, England",,False,224431955.0
1451,RishiMadlani,"London, England",,False,149916746.0
1481,EmmaWaugh70,"London, England",,False,139589679.0
1490,carinabigbutt,"London, England",,False,158242538.0
1494,CrystalClearUK,"London, England",,False,220963990.0
1509,GetYourSkinOut,"London, England","(51.5073219, -0.1276474)",False,25065530.0
1516,KayNeufeld,"London, England","(51.5073219, -0.1276474)",False,139178756.0
1517,BarryLattimore,"London, England",,False,106543460.0
1523,SimonTilford,"London, England",,False,123071215.0
1529,CeriRose1,"London, England",,False,210666958.0
1535,giulia_poppy,"London, England","(51.5073219, -0.1276474)",False,146581154.0
1543,RealHumptyB,"London, England",,False,226143285.0
1563,Brent_Council,"London, England",,False,229945587.0
1584,Energydesk,"London, England",,False,118145979.0
1603,WriteYouMedia,"London, England","(51.5073219, -0.1276474)",False,5478220.0
1606,aechitty,"London, England",,False,158295220.0
1607,MarcGellen,"London, England",,False,240098351.0
1648,F_C_Properties,"London, England","(51.5073219, -0.1276474)",False,19378946.0
1660,danielmather,"London, England","(51.5073219, -0.1276474)",False,202909804.0
1666,Christop_Taylor,"London, England","(51.5073219, -0.1276474)",False,232985022.0
1703,helenahalme,"London, England",,False,229441663.0
1705,lukeguttridge,"London, England",,False,230207646.0
1708,WorldIPReview,"London, England",,False,158583264.0
1720,robsafar,"London, England",,False,193243605.0
1735,colesywhu,"London, England","(51.5073219, -0.1276474)",False,162270312.0
1745,dustythewestie,"London, England",,False,111658413.0
1752,elultimogrito,"London, England",,False,231120070.0
1778,jwh1976,"London, England",,False,214912451.0
1819,NasimSalad,"London, England",,False,130469269.0
1845,BustyLizard,"London, England",,False,94013296.0
1847,HEELWrestling,"London, England",,False,148133100.0
1850,falbadri1995,"London, England","(51.5073219, -0.1276474)",False,61193564.0
1860,MarkWard7777,"London, England",,False,83950095.0
1866,AfricaWritesUK,"London, England","(51.5073219, -0.1276474)",False,32522769.0
1896,srg4uk,"London, England",,False,170667923.0
1904,Maeva_DST,"London, England","(51.5073219, -0.1276474)",False,97393100.0
1914,EmmaThorpeEU,"London, England",,False,225886227.0
1921,TanneSpielman,"London, England",,False,173594538.0
1931,Amritaa_x,"London, England",,False,162290934.0
1945,goncalosousa,"London, England","(51.5073219, -0.1276474)",False,205740684.0
1958,J_BirdsEyeView,"London, England","(51.5073219, -0.1276474)",False,3307743.0
1990,SiHaddock,"London, England",,False,194019759.0
2003,jinda_bisran,"London, England",,False,177187258.0
2033,LiamPLEdwards,"London, England","(51.5073219, -0.1276474)",False,185519504.0
2074,cecytalia,"London, England",,False,224222073.0
2082,robyn_frost,"London, England",,False,185173059.0
2086,M_Z_Harrison,"London, England",,False,178809563.0
2097,themightymrsq,"London, England","(51.5073219, -0.1276474)",False,26359947.0
2106,CTwomeyStudio,"London, England",,False,111835187.0
2112,carlgardner,"London, England",,False,253168912.0
2122,kevinmitchell50,"London, England",,False,231930276.0
2125,wetrainsocial,"London, England","(51.5073219, -0.1276474)",False,160724829.0
2154,JoDuffy91,"London, England",,False,117711590.0
2180,TechStuffBert,"London, England",,False,185998459.0
2186,vetrissimo,"London, England",,False,183190508.0
2189,MasterJomo,"London, England",,False,209481272.0
2192,tresdessert,"London, England",,False,248205458.0
2199,syedmahmood,"London, England",,False,231311757.0
2201,BenFaccini,"London, England",,False,97904678.0
2225,DarcyComedy,"London, England",,False,74605248.0
2235,Shermles,"London, England",,False,203414141.0
2241,Claire_Matthews,"London, England",,False,226749104.0
2242,marc_atkinson,"London, England",,False,231676498.0
2243,bettingpro,"London, England","(51.5073219, -0.1276474)",False,239277662.0
2252,Oakleypickle,"London, England",,False,127291287.0
2289,jesspearn,"London, England","(51.5073219, -0.1276474)",False,190786277.0
2301,MaxChambers_PX,"London, England",,False,159628431.0
2320,DaveGarghan9,"London, England",,False,215235924.0
2336,velobetty,"London, England",,False,282120354.0
2349,AkeelaAhmed,"London, England",,False,226721270.0
2350,nickshuttle,"London, England",,False,186071980.0
2358,bitterwit,"London, England",,False,227093503.0
2365,grumpydip,"London, England",,False,178182418.0
2410,DanielChalke,"London, England",,False,216096502.0
2421,tloca____x,"London, England","(51.5073219, -0.1276474)",False,23033056.0
2439,rossywar,"London, England",,False,233381924.0
2451,bezabalcha,"London, England","(51.5073219, -0.1276474)",False,104122118.0
2462,LouisCryer,"London, England",,False,148002426.0
2464,SymBear3,"London, England",,False,166925952.0
2469,HayRichardson,"London, England",,False,176872013.0
2474,SearchLDN,"London, England",,False,59050121.0
2509,sabinavankova,"London, England","(51.5073219, -0.1276474)",False,200240788.0
2513,PhilipShelley1,"London, England",,False,158673857.0
2514,Moiracaf,"London, England",,False,28629685.0
2532,JabbaWithAPen,"London, England",,False,133451649.0
2540,StavRuler,"London, England",,False,194341294.0
2583,marshallnorbal,"London, England",,False,222830595.0
2592,WishWelliams,"London, England",,False,230107343.0
2605,rick_n,"London, England",,False,241844437.0
2625,Taylor_181,"London, England","(51.5073219, -0.1276474)",False,109057668.0
2626,billinghamj,"London, England","(51.5073219, -0.1276474)",False,220298706.0
2628,DaveHill,"London, England",,False,257088608.0
2640,philofwe,"London, England",,False,79684149.0
2647,Daily_Star,"London, England",,False,232532082.0
2654,aliceRafter,"London, England",,False,115562785.0
2669,ralucadamian_rd,"London, England",,False,179815748.0
2684,EttieBoo,"London, England",,False,218504696.0
2687,slug_actually,"London, England",,False,117371575.0
2696,tomaharvey,"London, England","(51.5073219, -0.1276474)",False,117243686.0
2714,HalfFull2016,"London, England","(51.5073219, -0.1276474)",False,9782675.0
2724,LauraHuntMakeup,"London, England",,False,160389931.0
2764,KakoLDN,"London, England",,False,255505446.0
2771,kaizenreporting,"London, England","(51.5073219, -0.1276474)",False,51614837.0
2776,SmartCBusiness,"London, England",,False,198594967.0
2781,rt_sen,"London, England",,False,42970839.0
2785,Karpe__DM,"London, England","(51.5073219, -0.1276474)",False,21033420.0
2789,Colli58,"London, England",,False,161429615.0
2793,avloss,"London, England",,False,99559957.0
2805,KurtExIm,"London, England",,False,154079369.0
2809,ConWayFor,"London, England",,False,181990499.0
2813,georgegalloway,"London, England",,False,250321909.0
2821,IainHouten,"London, England",,False,214399502.0
2823,Kel_kelX,"London, England",,False,135689730.0
2832,JM_Dickerson,"London, England","(51.5073219, -0.1276474)",False,22154804.0
2872,LinleyRiley,"London, England",,False,162372873.0
2906,NathalieSmith7,"London, England","(51.5073219, -0.1276474)",False,120198036.0
2922,jakeblackhurst,"London, England",,False,147322324.0
2946,Cardwell1992,"London, England","(51.5073219, -0.1276474)",False,27268164.0
2975,angel_star333,"London, England",,False,159180058.0
2984,20sthredhead,"London, England",,False,125449824.0
3003,IMaSpiv,"London, England",,False,170480161.0
3013,58ALL,"London, England","(51.5073219, -0.1276474)",False,24843956.0
3031,olliehoad,"London, England",,False,234250400.0
3058,StaturePR,"London, England",,False,119180362.0
3064,James_Samworth,"London, England",,False,236349599.0
3080,SamDrury11,"London, England",,False,230085290.0
3082,FeargusOSull,"London, England",,False,151842383.0
3126,runnersworlduk,"London, England",,False,229069013.0
3133,emmawashere,"London, England",,False,233464778.0
3147,WillAlder,"London, England",,False,145248098.0
3168,GALLERY_PIECES,"London, England",,False,162879545.0
3177,LJGWheeler,"London, England",,False,117550005.0
3192,BeamaBeorg,"London, England",,False,231246659.0
3200,josephinereads1,"London, England","(51.5073219, -0.1276474)",False,2606827.0
3207,maryamtaqi_,"London, England",,False,69679189.0
3208,stuartpilcher,"London, England","(51.5073219, -0.1276474)",False,198377699.0
3232,GlennEbert,"London, England","(51.5073219, -0.1276474)",False,223698637.0
3235,jay007jedi,"London, England","(51.5073219, -0.1276474)",False,88573281.0
3267,tedbyoung,"London, England",,False,130782901.0
3272,freyahook,"London, England","(51.5073219, -0.1276474)",False,198916416.0
3276,D_Fitz_G,"London, England","(51.5073219, -0.1276474)",False,149508732.0
3282,3ChickenGeorge,"London, England",,False,84100659.0
3291,costello_lauren,"London, England",,False,144976348.0
3299,kirstyrallan,"London, England",,False,193122875.0
3330,LSEReviewBooks,"London, England",,False,139233013.0
3347,friedscorpion,"London, England",,False,221448308.0
3351,susantomespiano,"London, England",,False,98688196.0
3383,asabenn,"London, England",,False,229753689.0
3386,Lupesco80,"London, England",,False,139210646.0
3393,EverettMartha,"London, England",,False,102411162.0
3398,diane1859,"London, England",,False,227015131.0
3408,stuart_foy,"London, England",,False,105162327.0
3409,dawnvhardy,"London, England",,False,156940200.0
3413,TradefairPlus,"London, England",,False,88519169.0
3440,RobertLynam,"London, England",,False,173921857.0
3444,DoktorG,"London, England",,False,232129394.0
3446,DarcyWong2602,"London, England",,False,101048300.0
3455,lotofnothingcp,"London, England","(51.5073219, -0.1276474)",False,26733320.0
3479,BritIann007,"London, England","(51.5073219, -0.1276474)",False,126516970.0
3485,lucyeblair,"London, England",,False,142777561.0
3486,thismademecool,"London, England",,False,202716251.0
3487,AbbasPremji,"London, England",,False,212472884.0
3507,Tom_Shoot,"London, England",,False,118318471.0
3515,D_Rowson,"London, England",,False,161442319.0
3550,GridLDN,"London, England","(51.5073219, -0.1276474)",False,11162238.0
3566,gabalese,"London, England",,False,199714021.0
3569,StephenHksn,"London, England","(51.5073219, -0.1276474)",False,139099254.0
3572,sallyahmed_,"London, England","(51.5073219, -0.1276474)",False,66721081.0
3586,omonaija__,"London, England",,False,98853535.0
3605,kohtinho,"London, England","(51.5073219, -0.1276474)",False,115183850.0
3611,BajaHouseGoo,"London, England","(51.5073219, -0.1276474)",False,206778959.0
3620,iCylonius,"London, England",,False,187209794.0
3632,Priya963,"London, England",,False,111744479.0
3654,DameHilaryBlume,"London, England",,False,220892681.0
3660,Margybargy,"London, England",,False,228044675.0
3688,Rebecca_BLT,"London, England","(51.5073219, -0.1276474)",False,24050417.0
3690,MarketAccents,"London, England",,False,235393927.0
3700,Cyn_B_,"London, England",,False,189603366.0
3714,lee_alley,"London, England",,False,169210225.0
3730,Dombelina,"London, England",,False,227375378.0
3740,OpenMindMH,"London, England",,False,148535029.0
3744,London_Silvia,"London, England","(51.5073219, -0.1276474)",False,18781510.0
3754,quickcargouk,"London, England","(51.5073219, -0.1276474)",False,27858057.0
3757,Goonerator,"London, England",,False,105613538.0
3788,KloudStrife,"London, England",,False,186142537.0
3800,RmSalih,"London, England",,False,114010672.0
3811,StayFreeInside,"London, England","(51.5073219, -0.1276474)",False,23168249.0
3818,soyanotadora,"London, England",,False,182905208.0
3828,caelainnbarr,"London, England",,False,162476425.0
3832,MirandaUK,"London, England",,False,261910857.0
3846,BeckyWhittles,"London, England",,False,108293091.0
3848,scambers73,"London, England",,False,229970234.0
3868,REBELwcrewFILMS,"London, England",,False,45733212.0
3870,natalielmjohn,"London, England","(51.5073219, -0.1276474)",False,46931930.0
3882,andsa82,"London, England","(51.5073219, -0.1276474)",False,157828814.0
3889,JewishNewsUK,"London, England",,False,229504314.0
3890,angelneptustar,"London, England",,False,233589667.0
3910,NusratBegum,"London, England",,False,211446207.0
3913,Reemalhotra,"London, England",,False,156913900.0
3922,Nathank7,"London, England",,False,231416468.0
3923,ThisJayThomas,"London, England",,False,224643961.0
3924,Ceterna,"London, England",,False,170125611.0
3929,Hivemeitner,"London, England",,False,194190470.0
3931,SachaWoolLegal,"London, England",,False,114398746.0
3939,antwoco,"London, England",,False,231215682.0
3956,StewWhiteford,"London, England",,False,228714900.0
4006,jrweight,"London, England",,False,96122179.0
4029,220_d_92_20,"London, England",,False,137600458.0
4033,blightygamer,"London, England",,False,196749490.0
4082,linfordandrews,"London, England",,False,229123150.0
4112,andrewellson,"London, England",,False,224916659.0
4113,melplatt,"London, England",,False,250501411.0
4129,DarinJGraham,"London, England","(51.5073219, -0.1276474)",False,212187795.0
4131,JDoulton,"London, England",,False,90843767.0
4132,DeSmogUK,"London, England",,False,61597270.0
4155,Students4Europe,"London, England","(51.5073219, -0.1276474)",False,86781306.0
4160,NurtureMyBaby,"London, England",,False,101966983.0
4220,BellaMorrison,"London, England",,False,153382566.0
4225,absolutemoron,"London, England",,False,128392892.0
4235,DArcysj,"London, England",,False,211003018.0
4241,misslexirose,"London, England",,False,231163012.0
4250,DannyDoyle,"London, England",,False,221921670.0
4272,jaysh1,"London, England","(51.5073219, -0.1276474)",False,161435636.0
4273,natalieben,"London, England",,False,243565823.0
4293,pmedinamartin,"London, England",,False,74326869.0
4309,CarmenHurst,"London, England","(51.5073219, -0.1276474)",False,172006774.0
4313,rodadams46,"London, England",,False,62613577.0
4316,Geoff_A_Clark,"London, England",,False,56174786.0
4325,mittermayr,"London, England",,False,255618731.0
4326,rudyvonkat,"London, England",,False,59189184.0
4329,Fromhightolow,"London, England",,False,104811061.0
4333,tommygilchrist,"London, England",,False,228798086.0
4389,woo_chatting,"London, England",,False,23436073.0
4403,UniversitiesUK,"London, England",,False,211382691.0
4408,Jytook,"London, England","(51.5073219, -0.1276474)",False,123515938.0
4417,snowwflaxx,"London, England",,False,211014207.0
4418,samit021,"London, England",,False,205590423.0
4421,DorkDaily,"London, England","(51.5073219, -0.1276474)",False,12035849.0
4431,brrynrrs,"London, England",,False,114477198.0
4449,EllaTomlinKedge,"London, England",,False,226421624.0
4461,ddamned,"London, England",,False,257046017.0
4493,adjsays,"London, England",,False,230623852.0
4519,Athenaa_C,"London, England",,False,128226144.0
4547,HowardArcherUK,"London, England",,False,40636211.0
4586,iandunndesign,"London, England",,False,42300830.0
4591,Paulmurray100,"London, England",,False,68508485.0
4599,Dan_Culyer,"London, England","(51.5073219, -0.1276474)",False,28982400.0
4608,mdrtutton,"London, England","(51.5073219, -0.1276474)",False,183382728.0
4617,melekakpak,"London, England","(51.5073219, -0.1276474)",False,219326750.0
4621,jeffreyjbrady,"London, England",,False,165119182.0
4632,Singingfeenz,"London, England",,False,220851752.0
4644,LadPolitics,"London, England",,False,224411495.0
4652,YungPesoLDN,"London, England",,False,167871653.0
4672,arhobley,"London, England",,False,206961898.0
4675,MobileMaggie,"London, England",,False,292082651.0
4714,RozKaveney,"London, England",,False,213505171.0
4715,mooreska,"London, England",,False,229439188.0
4737,_Hope8,"London, England","(51.5073219, -0.1276474)",False,107849732.0
4743,miriam53800,"London, England",,False,31405857.0
4752,GeorgeClothier,"London, England",,False,158383622.0
4754,CriminologyUK,"London, England",,False,221099849.0
4762,PSObiter,"London, England",,False,171168257.0
4799,thecowgumkid,"London, England",,False,179575028.0
4801,Meidollar,"London, England",,False,84425900.0
4806,HanisaSara,"London, England",,False,62338598.0
4823,tr0ublemayer,"London, England",,False,49253261.0
4825,spenthomf,"London, England",,False,161440140.0
4829,deq451,"London, England",,False,107790022.0
4841,elahimayram,"London, England","(51.5073219, -0.1276474)",False,156675035.0
4844,SaekoKiller,"London, England",,False,57321581.0
